ACTION,GOTO
ClosureId,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Expressions1q,Identifier,dig,else,idt,if,int,return,void,while,{,},#,ActualParameterList,ActualParameters,AdditiveExpression,AssignmentStatement,Expression,Expressions,FTYPE,Factor,FormalParameters,FunctionCall,IfStatement,InternalDeclaration,InternalVariableDeclaration,OperatorFactor,OperatorTerm,Parameter,ParameterList,Parameters,Program,RelopAdditiveExpression,ReturnStatement,Start,Statement,StatementBlock,StatementSequence,Term,Type,WhileStatement,relop
91,r52,,r52,r52,r52,,r52,r52,,r52,r52,,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,r53,,r53,r53,r53,,r53,r53,,r53,r53,,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,129,,,
94,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,130,,,
95,r38,,r38,,s131,,s132,,,r38,r38,,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,r50,,,r50,r50,,r50,r50,r50,r50,r50,,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,133,,,,,48,,,,,,,,,,,,,,,,,,50,,,
98,r29,,,,,,,,r29,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,r45,,,r45,r45,,r45,r45,r45,r45,r45,,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,r46,,,r46,r46,,r46,r46,r46,r46,r46,,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,
102,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,
103,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,136,,,58,,,,,,,,,,,,,,,,,,60,,,
104,r55,,,r55,r55,,r55,r55,r55,r55,r55,,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,s63,,,,,r27,,,,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,139
108,,,,,,s140,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,
109,r43,,,s142,r43,r43,r43,s143,,r43,r43,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,
110,r51,s145,,r51,r51,r51,r51,r51,,r51,r51,,r51,r51,r51,,,,,,,,,,,,,,,,,,,,146,,,147,,,,,,,,,,,,,,,,,,,
111,r37,,,,s148,r37,s149,,,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,
112,r49,,,r49,r49,r49,r49,r49,,r49,r49,,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,r39,,,,r39,,r39,,r39,r39,r39,,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,r40,,,,r40,,r40,,r40,r40,r40,,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,151,,,
116,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,152,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,s154,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,
118,r50,,r50,r50,r50,,r50,r50,,r50,r50,,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,155,,,,,58,,,,,,,,,,,,,,,,,,60,,,
120,r29,,r29,,,,,,,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,s156,r21,r21,,r21,,r21,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,s29,s30,s31,s32,,s33,,,,,,,20,,,,,,,21,157,23,,,24,,,,,25,,26,,158,,,28,
123,r45,,r45,r45,r45,,r45,r45,,r45,r45,,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
